,Well Name,Depth,GR,ILD,ILD_log10,NPHI,RHOB,PORD,PORDIFF,BVW,Facies
659,AMMY196,1776.78,12.8377,16.361,1.2138098446415,0.2598,2.3143,0.2457764,0.014023599999999999,0.039089947037769995,1
660,AMMY196,1777.28,12.9967,14.408,1.1586036998114801,0.254,2.3156,0.244969,0.009031,0.041655097412892,1
661,AMMY196,1777.78,13.5452,12.794,1.10700634638154,0.2419,2.3472,0.22534169999999998,0.0165583,0.044204535476559996,1
662,AMMY196,1778.28,14.4497,11.44,1.05842602445701,0.2287,2.395,0.19565220000000003,0.0330478,0.046747349500423,1
663,AMMY196,1778.78,15.3541,10.525,1.0222221045077098,0.2182,2.4291,0.17447200000000002,0.043727999999999996,0.048737017882858,1
664,AMMY196,1779.28,16.0389,9.716000000000001,0.9874875061330931,0.2039,2.4588,0.1560248,0.04787519999999999,0.0507254900385,1
665,AMMY196,1779.78,16.1914,9.695,0.9865478134147242,0.1839,2.4886,0.13751549999999998,0.0463845,0.050780397675039,1
666,AMMY196,1780.28,15.8762,9.756,0.989271791641693,0.1649,2.5163,0.1203106,0.0445894,0.050621394935899004,4
667,AMMY196,1780.78,15.5242,10.497,1.02106519720257,0.1556,2.5374,0.107205,0.048395,0.048801975856314,4
668,AMMY196,1781.28,15.3039,11.370999999999999,1.05579865953248,0.1556,2.5297,0.11198759999999999,0.0436124,0.046888968032903,4
669,AMMY196,1781.78,15.1723,12.255,1.0883133155881,0.1643,2.4855,0.13944089999999998,0.0248591,0.045166178498192,1
670,AMMY196,1782.28,15.083,13.195,1.12040939455607,0.1833,2.4386,0.16857139999999998,0.0147286,0.043527658644486,1
671,AMMY196,1782.78,15.1559,13.82,1.1405080430381798,0.2009,2.3887,0.1995652,0.0013348,0.04253201739417,1
672,AMMY196,1783.28,15.3294,14.347000000000001,1.15676109830662,0.2109,2.3484,0.2245962,-0.013696200000000002,0.041743557222599,1
673,AMMY196,1783.78,15.0857,14.433,1.15935661162223,0.2163,2.3637,0.2150932,0.0012068,0.041619005513093,1
674,AMMY196,1784.28,14.4318,14.378,1.15769847927552,0.2195,2.3951,0.19559,0.02391,0.041698531887253996,1
675,AMMY196,1784.78,14.0249,14.206,1.15247181033604,0.2241,2.4168,0.1821118,0.041988199999999996,0.041950206131234,1
676,AMMY196,1785.28,13.9652,14.001,1.14615905560482,0.2323,2.4016,0.1915529,0.0407471,0.042256203613245,1
677,AMMY196,1785.78,13.8393,14.015999999999998,1.14662408882401,0.2435,2.3646,0.2145342,0.0289658,0.04223358614996799,1
678,AMMY196,1786.28,13.5587,14.11,1.14952701375435,0.2538,2.3414,0.22894420000000001,0.024855900000000004,0.042092672219416,1
679,AMMY196,1786.78,13.3111,14.431,1.1592964266883898,0.259,2.3328,0.23428579999999996,0.0247142,0.041621889413281,1
680,AMMY196,1787.28,13.1635,14.915,1.17362325769808,0.2579,2.3419,0.22863350000000002,0.0292665,0.040940993327342995,1
681,AMMY196,1787.78,13.1323,15.395,1.18737969323922,0.2457,2.3539,0.22118020000000002,0.024519799999999998,0.040297690565232004,1
682,AMMY196,1788.28,13.1206,15.822000000000001,1.19926138017708,0.2211,2.3848,0.2019876,0.0191124,0.039750199645878996,1
683,AMMY196,1788.78,12.59,16.054000000000002,1.20558325864075,0.1997,2.4444,0.16496889999999997,0.0347311,0.039461934829477005,1
684,AMMY196,1789.28,11.5622,15.616,1.19356980032262,0.1911,2.4727,0.1473912,0.0437088,0.04001152497903,1
685,AMMY196,1789.78,11.097999999999999,15.115,1.1794081515138402,0.1905,2.4648,0.15229820000000002,0.0382018,0.040669228004927005,1
686,AMMY196,1790.28,11.4285,14.402999999999999,1.15845296068883,0.1957,2.4499,0.16155279999999997,0.034147199999999996,0.04166232706694,1
687,AMMY196,1790.78,12.269,13.725,1.1375123531221298,0.2066,2.4251,0.17695650000000002,0.0296435,0.042678959977632006,1
688,AMMY196,1791.28,13.4223,13.418,1.12768778753985,0.2188,2.3954,0.1954037,0.0233963,0.043164439966563994,1
689,AMMY196,1791.78,14.0181,13.22,1.12123145514962,0.2265,2.3676,0.21267080000000002,0.0138292,0.04348648215372101,1
690,AMMY196,1792.28,13.8597,12.969000000000001,1.1129064902533101,0.2296,2.3449,0.2267703,0.0028296999999999997,0.043905280814486,1
691,AMMY196,1792.78,13.25,12.675999999999998,1.10298223051826,0.2312,2.3371,0.23161489999999998,-0.0004149,0.044409807336818,1
692,AMMY196,1793.28,12.3451,12.284,1.0893398077710301,0.2328,2.3498,0.2237266,0.009073399999999999,0.045112832961568004,1
693,AMMY196,1793.78,11.7882,11.81,1.07224989761351,0.2348,2.356,0.21987579999999998,0.014924200000000002,0.046009239583056,1
694,AMMY196,1794.28,11.7695,11.342,1.0546896429499801,0.2364,2.3537,0.22130439999999998,0.015095600000000002,0.046948874221748,1
695,AMMY196,1794.78,11.7536,10.68,1.02857125269254,0.2343,2.362,0.2161491,0.0181509,0.048382062482262005,1
696,AMMY196,1795.28,11.5384,10.056000000000001,1.0024252646779002,0.228,2.3843,0.2022981,0.0257019,0.049860585269378,1
697,AMMY196,1795.78,11.5177,9.6,0.9822712330395681,0.2194,2.4106,0.18596279999999998,0.03343719999999999,0.051031036307982995,1
698,AMMY196,1796.28,11.8167,9.186,0.963126441081905,0.21100000000000002,2.4551,0.15832290000000002,0.0526771,0.05216831190727299,1
699,AMMY196,1796.78,12.2099,8.822000000000001,0.9455670534423879,0.2052,2.4851,0.1396894,0.0655106,0.05323367852765001,1
700,AMMY196,1797.28,12.6048,8.498,0.9293167267534951,0.2039,2.4846,0.14,0.0639,0.05423899588840401,1
701,AMMY196,1797.78,13.1707,8.187000000000001,0.9131247903895591,0.2079,2.431,0.1732919,0.034608099999999996,0.05525958374084901,1
702,AMMY196,1798.28,13.9654,8.061,0.9063889211528309,0.2136,2.4191,0.18068320000000002,0.0329168,0.05568978532509,1
703,AMMY196,1798.78,14.3804,8.02,0.904174368284163,0.2162,2.411,0.18571429999999997,0.030485700000000004,0.055831953060444,1
704,AMMY196,1799.28,14.1112,8.061,0.9063889211528309,0.2105,2.4136,0.1840994,0.026400599999999996,0.05568978532509,1
705,AMMY196,1799.78,13.7367,8.198,0.913707913980483,0.1981,2.4612,0.1545342,0.0435658,0.055222497899074005,1
706,AMMY196,1800.28,13.6303,8.338,0.921061890790278,0.1887,2.5155,0.12080739999999998,0.06789260000000001,0.054756925957119,4
707,AMMY196,1800.78,13.7813,8.552,0.932067692200722,0.1881,2.4896,0.1368944,0.051205499999999994,0.054067483731043,1
708,AMMY196,1801.28,14.1283,8.78,0.943494515906103,0.1973,2.4296,0.1741615,0.0231385,0.053360850911720006,1
709,AMMY196,1801.78,14.3865,9.132,0.9605659028181981,0.2142,2.3648,0.21440990000000001,-0.00020990000000000003,0.052322327268507995,1
710,AMMY196,1802.28,14.382,9.634,0.983806641978415,0.2312,2.3328,0.23428579999999996,-0.0030858,0.050940908180162,1
